Date,N_Stocks,Allocation
2017-10-31,10,"OrderedDict({'AI.PA': 0.02, 'AIR.PA': 0.16802, 'DG.PA': 0.02, 'KER.PA': 0.25, 'MC.PA': 0.03796, 'RI.PA': 0.02, 'STMPA.PA': 0.22745, 'SU.PA': 0.02, 'TTE.PA': 0.02, 'WLN.PA': 0.21657})"
2018-03-31,5,"OrderedDict({'ALO.PA': 0.34122, 'DSY.PA': 0.4, 'HO.PA': 0.02, 'RMS.PA': 0.02, 'RNO.PA': 0.21878})"
2019-12-31,8,"OrderedDict({'AI.PA': 0.25, 'ALO.PA': 0.25, 'BNP.PA': 0.02, 'GLE.PA': 0.02, 'KER.PA': 0.04953, 'STMPA.PA': 0.25, 'VIV.PA': 0.04104, 'WLN.PA': 0.11943})"
2021-02-28,7,"OrderedDict({'BNP.PA': 0.08286, 'CS.PA': 0.02, 'GLE.PA': 0.02, 'ML.PA': 0.28571, 'PUB.PA': 0.28571, 'STLAP.PA': 0.28571, 'TTE.PA': 0.02})"
2021-03-31,4,"OrderedDict({'CS.PA': 0.09834, 'MT.AS': 0.2951, 'SGO.PA': 0.18321, 'STLAP.PA': 0.42335})"
2021-04-30,12,"OrderedDict({'CA.PA': 0.02, 'CAP.PA': 0.25, 'CS.PA': 0.02, 'DG.PA': 0.02, 'GLE.PA': 0.02519, 'KER.PA': 0.02, 'MC.PA': 0.25, 'OR.PA': 0.08481, 'RMS.PA': 0.25, 'SAN.PA': 0.02, 'VIE.PA': 0.02, 'WLN.PA': 0.02})"
2021-06-30,7,"OrderedDict({'CAP.PA': 0.22145, 'DSY.PA': 0.02, 'EL.PA': 0.02686, 'ERF.PA': 0.1955, 'RI.PA': 0.08752, 'RMS.PA': 0.28571, 'TEP.PA': 0.16295})"
2021-08-31,7,"OrderedDict({'CAP.PA': 0.17471, 'DSY.PA': 0.13984, 'ERF.PA': 0.28173, 'STMPA.PA': 0.03662, 'TEP.PA': 0.07416, 'VIE.PA': 0.18924, 'VIV.PA': 0.10369})"
2021-10-31,6,"OrderedDict({'CAP.PA': 0.18287, 'CS.PA': 0.32605, 'DSY.PA': 0.24253, 'EL.PA': 0.06729, 'RMS.PA': 0.16126, 'STMPA.PA': 0.02})"
2021-12-31,4,"OrderedDict({'LR.PA': 0.1182, 'SU.PA': 0.10687, 'TEP.PA': 0.38534, 'VIE.PA': 0.38959})"
2022-04-30,3,"OrderedDict({'AI.PA': 0.27918, 'CA.PA': 0.24802, 'ORA.PA': 0.4728})"
2022-11-30,13,"OrderedDict({'ALO.PA': 0.02, 'BNP.PA': 0.02, 'CS.PA': 0.06174, 'DG.PA': 0.25, 'EL.PA': 0.02, 'ENGI.PA': 0.25, 'KER.PA': 0.02, 'MC.PA': 0.02, 'PUB.PA': 0.02826, 'RMS.PA': 0.02, 'SAF.PA': 0.02, 'STLAP.PA': 0.02, 'TTE.PA': 0.25})"
2023-02-28,6,"OrderedDict({'BNP.PA': 0.19604, 'CA.PA': 0.02, 'CS.PA': 0.16258, 'ORA.PA': 0.26805, 'PUB.PA': 0.33333, 'STLAP.PA': 0.02})"
2023-03-31,3,"OrderedDict({'OR.PA': 0.02, 'RMS.PA': 0.66667, 'SAN.PA': 0.31333})"
2023-04-30,7,"OrderedDict({'AI.PA': 0.02, 'DG.PA': 0.0475, 'ENGI.PA': 0.28571, 'OR.PA': 0.11341, 'ORA.PA': 0.22767, 'RMS.PA': 0.28571, 'VIV.PA': 0.02})"
2023-06-30,5,"OrderedDict({'ENGI.PA': 0.4, 'GLE.PA': 0.02, 'OR.PA': 0.31457, 'RNO.PA': 0.17169, 'STLAP.PA': 0.09374})"
2023-07-31,7,"OrderedDict({'BNP.PA': 0.12118, 'EN.PA': 0.02, 'GLE.PA': 0.02, 'ML.PA': 0.02, 'SAF.PA': 0.28571, 'SGO.PA': 0.2474, 'STLAP.PA': 0.28571})"
2023-08-31,3,"OrderedDict({'AI.PA': 0.66667, 'GLE.PA': 0.03414, 'TTE.PA': 0.2992})"
2023-11-30,17,"OrderedDict({'AI.PA': 0.02, 'AIR.PA': 0.02, 'CAP.PA': 0.02, 'DG.PA': 0.02, 'DSY.PA': 0.02, 'EN.PA': 0.02, 'ENGI.PA': 0.04995, 'ML.PA': 0.02, 'OR.PA': 0.02, 'ORA.PA': 0.25, 'PUB.PA': 0.02, 'SAF.PA': 0.22557, 'SGO.PA': 0.02, 'STLAP.PA': 0.21449, 'STMPA.PA': 0.02, 'SU.PA': 0.02, 'VIE.PA': 0.02})"
2023-12-31,11,"OrderedDict({'BNP.PA': 0.02, 'DSY.PA': 0.05321, 'ERF.PA': 0.02, 'ML.PA': 0.02, 'MT.AS': 0.02, 'OR.PA': 0.25, 'PUB.PA': 0.25, 'SGO.PA': 0.05307, 'STLAP.PA': 0.25, 'SU.PA': 0.04372, 'VIV.PA': 0.02})"
2024-01-31,8,"OrderedDict({'CAP.PA': 0.02, 'CS.PA': 0.07207, 'DSY.PA': 0.25, 'MC.PA': 0.02, 'PUB.PA': 0.25, 'SAF.PA': 0.25, 'VIE.PA': 0.0615, 'VIV.PA': 0.07642})"
2024-02-29,12,"OrderedDict({'AI.PA': 0.19271, 'CAP.PA': 0.02, 'CS.PA': 0.02, 'EL.PA': 0.02, 'MC.PA': 0.02, 'ML.PA': 0.02, 'PUB.PA': 0.10575, 'RMS.PA': 0.02, 'SAF.PA': 0.25, 'SGO.PA': 0.02, 'STLAP.PA': 0.25, 'SU.PA': 0.06155})"
2024-03-31,13,"OrderedDict({'AIR.PA': 0.08107, 'ALO.PA': 0.02, 'BNP.PA': 0.02, 'CS.PA': 0.02589, 'EL.PA': 0.0591, 'GLE.PA': 0.02, 'HO.PA': 0.02, 'ML.PA': 0.02, 'PUB.PA': 0.19395, 'RNO.PA': 0.02, 'SAF.PA': 0.25, 'STLAP.PA': 0.25, 'TTE.PA': 0.02})"
2024-04-30,6,"OrderedDict({'BNP.PA': 0.05021, 'ENGI.PA': 0.08242, 'ML.PA': 0.25984, 'SAN.PA': 0.02, 'SGO.PA': 0.33333, 'TTE.PA': 0.25419})"
2024-05-31,6,"OrderedDict({'BNP.PA': 0.02, 'GLE.PA': 0.02, 'ML.PA': 0.33333, 'RNO.PA': 0.27333, 'URW.PA': 0.33333, 'VIE.PA': 0.02})"
2024-08-31,3,"OrderedDict({'CS.PA': 0.61331, 'ENGI.PA': 0.34999, 'SAN.PA': 0.0367})"
2024-09-30,8,"OrderedDict({'ERF.PA': 0.14379, 'FR.PA': 0.02, 'MC.PA': 0.02, 'MT.AS': 0.04621, 'RI.PA': 0.02, 'RMS.PA': 0.25, 'SAF.PA': 0.25, 'URW.PA': 0.25})"
2024-12-31,3,"OrderedDict({'RMS.PA': 0.46611, 'RNO.PA': 0.51389, 'WLN.PA': 0.02})"
