Date,N_Stocks
2016-01-31,0
2016-02-29,10
2016-03-31,8
2016-04-30,4
2016-05-31,19
2016-06-30,4
2016-07-31,17
2016-08-31,7
2016-09-30,6
2016-10-31,10
2016-11-30,12
2016-12-31,22
2017-01-31,2
2017-02-28,10
2017-03-31,28
2017-04-30,27
2017-05-31,15
2017-06-30,1
2017-07-31,4
2017-08-31,2
2017-09-30,22
2017-10-31,21
2017-11-30,6
2017-12-31,3
2018-01-31,7
2018-02-28,6
2018-03-31,6
2018-04-30,21
2018-05-31,11
2018-06-30,4
2018-07-31,9
2018-08-31,7
2018-09-30,11
2018-10-31,3
2018-11-30,3
2018-12-31,1
2019-01-31,16
2019-02-28,22
2019-03-31,11
2019-04-30,20
2019-05-31,3
2019-06-30,15
2019-07-31,5
2019-08-31,8
2019-09-30,11
2019-10-31,8
2019-11-30,15
2019-12-31,10
2020-01-31,6
2020-02-29,1
2020-03-31,1
2020-04-30,4
2020-05-31,8
2020-06-30,8
2020-07-31,3
2020-08-31,1
2020-09-30,2
2020-10-31,1
2020-11-30,19
2020-12-31,7
2021-01-31,3
2021-02-28,8
2021-03-31,15
2021-04-30,12
2021-05-31,12
2021-06-30,8
2021-07-31,10
2021-08-31,10
2021-09-30,3
2021-10-31,12
2021-11-30,1
2021-12-31,8
2022-01-31,1
2022-02-28,1
2022-03-31,4
2022-04-30,2
2022-05-31,9
2022-06-30,1
2022-07-31,17
2022-08-31,2
2022-09-30,0
2022-10-31,17
2022-11-30,17
2022-12-31,5
2023-01-31,15
2023-02-28,11
2023-03-31,11
2023-04-30,10
2023-05-31,2
2023-06-30,13
2023-07-31,14
2023-08-31,6
2023-09-30,1
2023-10-31,2
2023-11-30,22
2023-12-31,11
2024-01-31,12
2024-02-29,15
2024-03-31,22
2024-04-30,8
2024-05-31,6
2024-06-30,1
2024-07-31,8
2024-08-31,13
2024-09-30,8
2024-10-31,2
2024-11-30,2
2024-12-31,5
2025-01-31,23
2025-02-28,12
2025-03-31,6
2025-04-30,9
2025-05-31,11
2025-06-30,6
2025-07-31,10
2025-08-31,2
2025-09-30,9
2025-10-31,7
2025-11-30,9
2025-12-31,12
